,KOC HOLDING,KUNLUN ENERGY,OFFS.OIL ENGR. 'A' (SSC),MIRAE ASSET SECURITIES,FIRST FINANCIAL HOLDING,SINOLINK SECURITIES(SSC) 'A',BUMRUNGRAD HOSPITAL,APOLLO HOSPS.ENTERPRISE,MOUWASAT MEDICAL SVS.,SAMSUNG C&T,YUNNAN ENERGY NEW (SEC) MATERIALS 'A',BIDVEST GROUP,UNITED MICRO ELTN.,COMPAL ELECTRONICS,TOTVS ON,GAMUDA,PROMOTORA Y OPRD. INFRE.,BUDIMEX,AYALA,PHOENIX MILLS,CHINA OVERSEAS LAND INVESTMENT,YTL CORPORATION,GUANGDONG INVESTMENT,METLEN ENERGY & METALS
2019-01-01,14.2,5.895,4.9,6530,17.59,7.16,187.5,1266.4,39.95,105500,29.06,206.85,11.25,17.45,9.03,2.34,188.13,113.6,871.808,288.22,26.9,0.977,15.14,7.29
2019-01-02,14.18,5.724,4.85,6370,17.41,7.16,187,1258.75,40.3,104000,28.28,200.83,11.1,17.45,9.53,2.31,187.08,114.4,877.62,287.25,25.4,0.968,14.94,7.3
2019-01-03,13.8,5.739,4.86,6360,17.5,7.31,190,1266.65,39.95,104500,27.18,201.39,10.9,17.4,9.75,2.29,189.01,119.4,896.025,288.85,26,0.977,14.96,7.38
2019-01-04,13.63,5.945,4.94,6400,17.46,7.88,187,1293,40.05,107000,29.23,205,10.7,17.1,10.02,2.29,195.32,120,929.929,291.72,26.5,1.006,15.28,7.57
2019-01-07,13.77,5.994,5,6710,17.59,7.84,190.5,1282.1,40.15,108000,28.95,203.68,11,17.45,9.8,2.45,194.09,120,966.738,293.25,26.75,1.006,15.42,7.73
2019-01-08,14.15,5.937,5.05,6590,17.55,7.93,192.5,1249.5,39.9,107000,29.74,200.3,10.95,17.35,9.4,2.46,194.99,120,939.616,288.22,26.8,0.997,15.42,7.71
2019-01-09,14.54,5.987,5.1,6720,17.77,7.87,176,1267.4,39.9,109000,28.24,201.81,11.1,17.6,9.76,2.75,193.11,120,968.676,287.57,27,1.026,15.22,7.87
2019-01-10,14.72,5.987,5.13,6760,17.77,7.8,172,1285.4,39.65,108500,27.72,200.49,11.15,17.55,9.94,2.79,194.59,118.8,968.676,284.15,26.65,1.035,15.12,7.76
2019-01-11,14.98,6.065,5.22,6710,17.77,7.9,178,1292.7,39.55,109000,27.27,201.77,11.2,17.6,10.04,2.81,187.98,118.6,941.553,280,27.45,1.055,15.14,7.7
2019-01-14,14.95,6.016,5.17,6730,17.77,7.86,182,1322.6,40,109500,27.55,204.34,11.1,17.55,10.33,2.76,184.99,112.8,944.459,278.25,27.5,1.113,15.26,7.5
2019-01-15,15.01,6.087,5.21,7040,17.72,8,180,1329.15,39.5,110500,27.02,207,11.25,17.5,10.65,2.77,189.18,114,940.1,288.62,27.95,1.103,15.34,7.7
2019-01-16,15.39,6.136,5.28,7190,17.59,7.95,181,1347.6,39,111000,26.79,210.32,11.3,17.5,10.54,2.87,189.81,114.8,890.213,287.15,28.05,1.103,15.24,7.73
2019-01-17,15.62,6.087,5.17,7140,17.63,7.8,181,1352.95,38.95,111500,27.58,208.13,11.25,17.5,10.81,2.83,189.71,114.8,894.088,282.32,27.15,1.113,15.56,7.73
2019-01-18,16.22,6.037,5.31,7280,17.77,7.96,181,1366.3,38.85,116500,27.54,203,11.4,17.55,11.3,2.8,192.37,114.8,909.587,288.7,27.8,1.103,15.6,7.67
2019-01-21,15.78,5.952,5.33,7200,17.72,7.87,177,1326.05,38.85,115000,27.86,201,11.7,17.65,11.07,2.8,187.61,113,896.025,290.07,27.35,1.103,14.88,7.93
2019-01-22,16.19,5.781,5.23,7170,17.81,7.81,184,1293.8,38.55,116500,28.06,201,11.7,17.65,11.26,2.75,187.83,112,882.464,299.52,27.05,1.103,15.32,8.14
2019-01-23,16.45,5.802,5.3,7150,17.68,7.78,183.5,1293.85,38.6,117500,29,202.5,11.55,17.6,11.32,2.65,187.71,112.8,877.62,301.9,27.4,1.103,15.52,8.02
2019-01-24,17.1,5.881,5.31,7490,17.77,7.89,185,1314.65,38.3,117500,29.55,201.4,11.7,17.65,11.17,2.68,191.23,109.8,883.917,307.6,27.45,1.103,15.38,8.16
2019-01-25,16.99,5.98,5.37,7520,17.81,7.81,184,1292.3,38.3,117500,29.46,201.9,11.95,17.8,11.17,2.74,191.88,112,892.635,301.45,28.2,1.123,15.24,8.19
2019-01-28,16.9,5.916,5.32,7400,17.85,7.83,188,1265.8,38.4,118000,28.56,199.12,11.85,18.1,10.77,2.68,187.5,112.4,897.962,303.25,28.35,1.123,15.02,8.07
2019-01-29,17.41,5.916,5.23,7460,17.9,7.69,186,1299.65,38.45,119500,28.64,201,12,18.1,10.9,2.7,185.4,111.8,894.088,298.12,28.2,1.113,15.32,8.22
2019-01-30,17.28,5.937,5.14,7490,17.94,7.59,185.5,1319.6,38.3,119500,27.53,198.95,11.35,18.2,10.93,2.73,188.24,109,889.244,298.45,28.95,1.113,14.92,8.32
2019-01-31,17.3,5.937,5.24,7590,17.94,7.62,186,1325.65,37.75,120000,27.28,202.6,11.35,18.2,11.06,2.76,195.12,108.2,897.962,301.45,29.5,1.065,14.96,8.22
2019-02-01,17,5.937,5.36,7550,17.94,7.84,187,1341.25,37.55,117500,27.99,203.5,11.35,18.2,11.02,2.76,192.55,109.8,910.555,311.95,29.2,1.065,14.9,8.35
2019-02-04,16.98,5.923,5.36,7550,17.94,7.84,187.5,1296.75,37.5,117500,27.99,196.97,11.35,18.2,11.11,2.71,192.55,110.8,906.197,297.27,29.25,1.074,14.7,8.58
2019-02-05,17.27,5.923,5.36,7550,17.94,7.84,186,1290.85,37.4,117500,27.99,200.7,11.35,18.2,11.45,2.71,189.56,114,906.197,286.1,29.25,1.074,14.7,8.51
2019-02-06,17.5,5.923,5.36,7550,17.94,7.84,186.5,1304.05,37,117500,27.99,202.82,11.35,18.2,11.21,2.71,189.53,117.2,897.962,285.85,29.25,1.074,14.7,8.66
2019-02-07,17.21,5.923,5.36,7750,17.94,7.84,181.5,1295.85,37.1,117500,27.99,201.37,11.35,18.2,10.88,2.73,188.67,116.6,903.775,286.32,29.25,1.113,14.7,8.43
2019-02-08,17.16,5.802,5.36,7550,17.94,7.84,184,1257.85,37.15,115500,27.99,196.52,11.35,18.2,10.74,2.75,185.58,118,897.962,292.67,29.1,1.113,14.78,8.82
2019-02-11,17.26,5.817,5.43,7520,17.94,8.03,183,1121.9,37.3,116500,28.98,195.6,10.85,18.5,10.77,2.73,183.57,112,899.9,299.02,28.95,1.094,14.98,8.79
2019-02-12,17.5,5.625,5.54,7540,18.12,8.07,182,1132.25,37.95,117000,30.02,196.17,11.1,18.45,10.47,2.75,183.7,111,902.806,290.35,28.65,1.084,14.94,8.64
2019-02-13,17.08,6.072,5.6,7410,18.12,8.65,180.5,1149.8,38,117500,31.24,196.22,11.1,18.35,10.57,2.75,180.2,110,900.869,290.65,28.9,1.074,15.32,8.65
2019-02-14,17.2,6.243,5.6,7560,18.12,8.58,182.5,1152.35,38,117500,31.44,193.24,11.3,18.15,10.83,2.76,180.24,110,896.994,290.52,29.55,1.065,15,8.7
2019-02-15,17.65,6.243,5.65,7400,18.03,8.48,183.5,1142.8,37.8,116000,30,195,11.4,18.1,11.09,2.79,182.32,111,930.897,300.05,28.95,1.074,15.08,8.71
2019-02-18,17.32,6.342,5.77,7470,18.12,8.83,181.5,1116.85,37.5,116500,29.98,198,11.45,18.2,11.27,2.83,180.89,111,915.398,291.22,28.9,1.055,15.2,8.89
2019-02-19,17.31,6.278,5.82,7460,18.07,8.75,181.5,1116.4,37.6,116000,29.24,197.28,11.45,18.3,11.16,2.9,181.53,109,907.649,298.12,28.5,1.045,15.22,8.86
2019-02-20,17.7,6.278,5.69,7620,18.12,8.8,185.5,1129.6,37.6,117500,29.54,198.86,11.4,18.3,11.43,3.1,181.47,108,914.43,300.37,28.8,1.113,15.26,9.07
2019-02-21,17.62,6.243,5.65,7580,18.21,8.76,182.5,1152.2,37.8,116000,30.15,200.5,11.45,18.3,11.14,3.11,186.03,108.6,920.242,294.32,29,1.123,15.2,9.09
2019-02-22,18.17,6.342,5.75,7600,18.29,9.55,184,1146.2,38.7,115500,30,201.89,11.5,18.35,11.28,3.04,184.74,109.4,912.492,296.62,29.15,1.113,15.38,8.94
2019-02-25,18.5,6.371,6.02,7650,18.29,10.51,185.5,1187.45,38.5,115500,32.12,205.53,11.65,18.45,11.44,2.86,187.34,112.6,912.492,298,29.05,1.103,15.12,8.89
2019-02-26,18.67,6.378,5.96,7710,18.29,10.16,189,1157.35,38,116500,32.85,209.8,11.65,18.8,11.67,2.93,192.57,110.8,915.398,289.47,29,1.094,14.94,8.85
2019-02-27,18.65,6.236,5.88,7730,18.29,10.07,188,1149.3,38.85,116500,32.3,209.55,11.45,19.1,11.89,2.94,190.79,114.4,912.008,292.47,28.6,1.074,15.02,8.96
2019-02-28,18.64,6.122,6.07,7560,18.29,9.84,186.5,1140.9,38.3,115500,32.94,208.07,11.45,19.1,12.12,2.94,189.86,115.2,896.025,311.75,28.9,1.026,15.06,9.17
2019-03-01,18.4,6.293,6.1,7560,18.29,10.14,186.5,1151.85,37.95,115500,34.71,211.6,11.45,19.1,12.26,2.92,187.5,117,900.869,308.15,29.35,0.987,15.2,9.14
2019-03-04,18.61,6.378,6.09,7690,18.43,10.15,183,1151.85,37.5,113000,35.94,211.84,11.45,18.95,12.26,2.93,187,118.4,907.649,308.15,29.6,0.997,15,9
2019-03-05,18.62,6.42,5.99,7610,18.29,10.09,183,1191.9,38.15,112500,35.88,206,11.6,18.9,12.26,2.97,186.18,116.4,906.197,315.22,29.2,0.987,14.92,8.94
2019-03-06,18.41,6.435,6.04,7590,18.38,10.55,180,1192.75,38.15,110500,35.88,205.23,11.7,19,12.6,2.99,188.48,123.2,913.946,317.55,29.05,0.987,14.88,8.91
2019-03-07,18.24,6.413,6.03,7460,18.43,10.81,181.5,1186.95,38,110000,36.53,201.68,11.85,19,12.26,2.99,185.71,129.2,918.304,312.8,28.7,1.055,14.9,8.74
2019-03-08,18.05,6.214,5.65,7270,18.34,9.73,179.5,1171.9,38,109500,36.5,200.92,11.6,18.9,12.16,2.98,184.48,131,910.071,310.15,27.8,1.045,14.72,8.66
2019-03-11,17.77,6.278,5.76,7330,18.29,10.07,178.5,1204.05,38.25,108500,38.94,198,11.45,18.75,12.1,2.96,184.95,132,896.994,319.37,27.9,1.035,15.04,8.66
2019-03-12,18.09,6.3,5.83,7340,18.47,10.27,180.5,1157.25,38.1,110000,37.84,199.5,11.65,18.8,12.04,2.96,185.15,130,896.025,314.62,28.4,1.006,15.04,8.69
2019-03-13,18.17,6.293,5.76,7340,18.47,10.59,180,1117.6,38.7,108000,36.95,198,11.55,18.9,12.3,2.9,183.09,129,891.182,313.55,28.3,1.016,14.98,8.73
2019-03-14,18.1,6.427,5.76,7410,18.43,10.09,179,1131.95,38.05,108000,37.46,198.5,11.45,18.8,12.59,2.89,186.1,127,896.51,331.8,28.2,1.026,15.18,8.78
2019-03-15,18.38,6.449,5.84,7630,18.34,10.14,178.5,1124.15,39,110500,38.34,200.7,11.65,18.75,12.34,2.92,190.11,129.8,891.666,339.65,28.45,1.065,15.1,8.91
2019-03-18,18.2,6.385,6.04,7700,18.47,10.3,177.5,1119.65,39.05,110000,37.71,200,11.7,19,12.53,2.93,190.11,133,900.869,339.02,30.45,1.074,15.24,8.89
2019-03-19,18.47,6.371,6.07,7690,18.47,10.19,177.5,1139.9,40.15,110000,38.03,197.37,11.7,19,12.24,2.89,186.88,133.8,900.869,339.47,30.55,1.035,15.08,8.88
2019-03-20,18.3,6.364,6.09,7660,18.56,10.29,177,1166,40.3,110000,36.99,199,11.55,19,12.27,2.87,192.64,144,897.962,340.77,29.95,1.045,14.9,9.12
2019-03-21,18.22,6.264,6.12,7650,18.56,10.45,177.5,1166,40.1,109000,36.61,199,11.6,19,12.24,2.93,192.02,147,902.321,340.77,29,1.035,15.04,9.07
2019-03-22,17.84,5.987,6.08,7550,18.56,10.7,178.5,1150.6,39.25,107500,37.24,196,11.8,19.1,12.65,2.89,190.46,146.8,910.555,330.02,28.6,1.065,14.9,8.84
2019-03-25,17.67,5.831,6.06,7350,18.38,10.52,175.5,1147.05,39.2,106000,37.12,196,11.65,18.85,12.64,2.84,188.9,143.6,893.604,330.55,28.3,1.045,14.92,8.84
2019-03-26,17.16,5.774,6.04,7310,18.56,10.04,177.5,1151.9,39.2,106000,35.98,195.93,11.65,18.9,12.97,2.84,195,142,903.775,324.5,28.3,1.055,14.96,8.86
2019-03-27,15.96,5.824,6.4,7260,18.56,9.91,177.5,1153.75,39.5,108000,36.07,193.28,11.65,19,12.78,2.8,192.33,145,900.869,315.55,28.7,1.035,15.06,8.96
2019-03-28,15.91,5.817,6.34,7120,18.51,9.86,178,1182.95,40,106500,35.94,188.23,11.65,19,13.1,2.84,191,149.2,902.806,325.8,28.75,1.016,15.14,8.8
2019-03-29,16.09,5.824,6.44,7330,18.56,10.74,179.5,1227.6,40.15,107000,35.76,193.5,11.65,19.15,13.1,2.88,192.81,148,910.555,328.92,29.8,1.026,15.16,9.01
2019-04-01,16.05,5.781,6.73,7490,18.56,11.19,180.5,1269.5,40.45,108000,36.57,200.67,11.55,19.05,13.05,2.9,195.79,148.4,900.869,329.62,30.95,1.016,15.1,9.19
2019-04-02,16.36,5.76,6.59,7550,18.56,11.3,179.5,1255.3,41.45,109000,35.46,198.5,11.6,19.1,12.97,2.9,188.74,148.4,900.869,330.12,30.55,1.026,15,9.32
2019-04-03,16.52,5.966,6.66,7750,18.65,12.43,180,1259.75,41.55,112500,34.06,203.99,11.55,19.15,13.37,3.01,193.16,148,896.994,333.25,30.4,1.035,14.98,9.35
2019-04-04,17.27,5.966,6.58,7750,18.65,12.06,178.5,1256.25,41.75,111500,33.29,203.54,11.55,19.15,14.04,3.07,190.11,150,877.136,327.2,30.05,1.074,14.86,9.27
2019-04-05,17.22,5.966,6.58,7900,18.65,12.06,178,1245,41.25,111000,33.29,206.2,11.55,19.15,13.83,3.1,190.91,148.4,893.119,325.85,30.05,1.074,14.86,9.44
2019-04-08,16.84,5.952,6.59,7860,18.6,11.93,178,1237.1,41.2,110500,33.87,208.23,11.9,19.5,13.92,3.25,192.77,150,882.464,323.4,30.05,1.074,14.7,9.5
2019-04-09,17.12,5.93,6.6,7780,18.69,11.94,179.5,1259.55,41.4,111500,33.19,206.9,12.3,19.5,13.87,3.28,190.47,148,882.464,324.25,30.35,1.161,14.66,9.5
2019-04-10,16.75,6.001,6.5,7820,18.73,11.46,179.5,1246.25,41.4,111000,33.88,210.61,12.25,19.55,13.93,3.3,189.13,150,895.056,328.85,30.5,1.161,14.56,9.44
2019-04-11,16.64,6.229,6.3,7810,18.73,11.2,178.5,1240.4,41.45,111500,32.95,210.81,12.1,19.35,14.02,3.25,185.63,143.4,883.432,324.72,29.75,1.152,14.52,9.62
2019-04-12,16.55,6.115,6.34,7800,18.73,11.27,179,1264.3,41,111500,33.18,213.85,12.2,19.25,14.07,3.19,186.07,144,884.401,313.62,30,1.171,14.46,9.62
2019-04-15,16.24,6.108,6.21,8090,18.73,10.97,179,1271.4,41.4,111000,32.65,215.8,12.05,19.45,14.05,3.13,185.59,140,879.557,316.85,29.95,1.2,14.18,9.72
2019-04-16,16.45,6.122,6.29,7990,18.73,11.4,179,1275.2,41.7,113000,32.26,216.1,12.1,19.35,14.01,3.13,187.76,144,872.777,313.17,29.75,1.181,14.6,9.67
2019-04-17,17.02,5.916,6.23,8040,18.78,11.23,178.5,1275.2,42.25,113000,34.46,218.46,12.2,19.5,14.09,3.08,190.89,145.6,871.808,313.17,29.5,1.094,14.52,9.69
2019-04-18,16.85,5.973,6.18,7850,18.78,11.16,179,1271.6,42.95,111000,34.41,219.47,12,19.6,13.53,3.08,190.89,148.4,871.808,306.52,28.75,1.084,14.5,9.61
2019-04-19,16.9,5.973,6.2,7870,18.95,11.29,178,1271.6,42.35,111500,34.21,219.47,12.1,19.6,13.53,3.08,190.89,148.4,871.808,306.52,28.75,1.113,14.5,9.61
2019-04-22,16.91,5.973,6.37,7940,18.78,11.02,178.5,1232.05,42.55,111500,33.08,219.47,11.9,19.7,13.83,3.35,186.25,148.4,854.372,303.22,28.75,1.161,14.5,9.61
2019-04-23,16.91,5.966,6.23,7850,18.82,11.17,178,1242.9,41.55,112500,32.53,216.98,11.95,19.7,14.23,3.36,187.38,150,837.904,301.05,28.25,1.161,14.46,9.56
2019-04-24,16.69,5.852,6.15,7750,18.91,11.3,177.5,1228.8,41.05,110500,32.88,215.5,11.95,19.85,14.36,3.42,189.94,149,856.309,299.42,29,1.181,14.44,9.5
2019-04-25,16.36,5.845,5.97,7750,19,10.83,176.5,1246.25,41.65,105000,31.85,216.66,13.1,19.8,14.39,3.46,189.62,150.2,857.278,299.75,28.7,1.181,14.5,9.49
2019-04-26,16.31,5.817,5.78,7740,19,10.84,177,1239.2,41.75,103000,32,220,13.45,19.85,14.5,3.55,192.17,150,866.965,304.65,29.2,1.142,14.46,9.49
2019-04-29,16.15,5.845,5.62,7870,19.26,10.23,177.5,1239.2,41.75,103500,32.56,216.18,13.35,19.9,14.66,3.51,188.2,147.4,871.808,304.65,29.6,1.142,14.8,9.49
2019-04-30,16.2,5.881,5.73,7800,19.39,10.27,177,1216.5,42.5,102500,31.67,217.1,13.45,19.95,14.81,3.5,192.84,147.4,875.683,300.1,29.35,1.094,14.7,9.66
2019-05-01,16.2,5.881,5.73,7800,19.39,10.27,177,1216.5,43,102500,31.67,217.1,13.45,19.95,14.81,3.5,192.84,147.4,875.683,300.1,29.35,1.094,14.7,9.66
2019-05-02,16.5,5.852,5.73,7840,19.35,10.27,172,1194.55,42.75,103000,31.67,222.19,13.55,19.9,14.64,3.41,192.17,143.6,880.527,302.4,29.35,1.142,14.92,9.65
2019-05-03,16.39,5.838,5.73,7700,19.35,10.27,172,1199.3,42.5,101500,31.67,224.58,13.85,20,14.13,3.37,191.95,143.6,871.808,299.1,29.3,1.152,14.98,9.67
2019-05-06,16.17,5.703,5.3,7700,19.17,9.24,172,1190.3,42.75,101500,30.32,220,13.2,19.6,14,3.33,192.22,139,869.871,299.77,28.7,1.152,14.84,9.25
2019-05-07,15.5,5.746,5.36,7470,19.31,9.36,169.5,1164.95,43,101000,30.01,216.01,13.6,19.9,13.6,3.32,192.59,137,871.808,310.25,28.8,1.113,14.9,9.42
2019-05-08,15.3,5.689,5.31,7500,19.26,9.2,169.5,1170.3,43,100500,29.46,216.01,13.45,19.65,13.13,3.32,192.4,135.4,872.777,304.45,29,1.123,14.9,9.26
2019-05-09,15.31,5.568,5.27,7250,19.09,9.09,169,1169.6,42.95,97500,30.05,211.54,13.15,19.35,13.37,3.28,189.45,135.2,861.153,297.9,28.2,1.084,15.28,9.11
2019-05-10,15.3,5.597,5.4,7320,19,9.48,168,1186.55,41.7,98900,31.18,216.38,13.2,19.5,13.72,3.26,191.62,135.6,862.122,291.17,28.9,1.103,14.96,9.16
2019-05-13,15.02,5.597,5.51,7260,18.91,9.28,166.5,1172.3,39.35,99300,30.67,218.89,12.95,19.2,13.76,3.2,193.8,136.8,862.122,287.22,28.9,1.074,14.96,9.13
2019-05-14,15.45,5.454,5.44,7300,18.82,9.17,164.5,1142.5,40,98900,31.07,210.5,13,19.1,13.3,3.12,192.42,143.8,852.435,299.12,28.4,1.035,14.9,9.3
2019-05-15,15.32,5.419,5.49,7380,18.91,9.34,163,1156.45,41.95,99900,31.04,209.81,12.9,18.85,13.26,3.3,192.47,143,852.435,296.9,28.4,1.035,14.9,9.02
2019-05-16,15.48,5.362,5.58,7250,18.91,9.37,165,1136.45,42.7,98000,30.45,208.5,12.95,18.75,12.97,3.2,191.2,141.6,811.75,308.25,28.8,1.016,14.62,9
2019-05-17,15.15,5.256,5.43,7340,18.95,8.82,163.5,1141.2,41.8,97400,29.45,199.49,13,18.8,12.8,3.29,191.49,137.4,823.375,300.07,28.5,1.026,14.44,8.98
2019-05-20,15.14,5.256,5.52,7320,19.22,8.96,163.5,1198.3,41,96600,32.39,196.83,12.75,18.85,12.85,3.29,190.78,137.6,830.155,300.7,28.25,1.026,14.72,8.75
2019-05-21,14.77,5.305,5.59,7430,19.53,9.19,167,1172.7,41.65,95900,31.96,199.2,12.95,18.95,13.64,3.23,191.29,142,823.375,308.22,28.15,1.016,14.58,8.96
2019-05-22,14.59,5.248,5.58,7390,19.31,9.12,166,1162.95,42.5,95700,32.62,200,13,18.95,13.73,3.23,188.25,139.4,876.651,309.07,28,1.016,14.46,9
2019-05-23,14.85,5.05,5.63,7400,19.26,9.07,163.5,1150.1,41.65,94500,32.24,193.57,12.85,19,13.25,3.2,186.64,137.4,866.965,309.57,27.55,1.016,14.54,8.84
2019-05-24,15.14,5.057,5.61,7440,19.44,8.99,165,1170.5,41.5,93500,31.6,193.65,12.95,19,13.3,3.22,186.54,137.4,871.808,308,27.4,0.987,15.08,8.99
2019-05-27,15.06,5.05,5.65,7460,19.48,9.33,166.5,1198.8,41.5,93500,32.25,196,12.8,19.05,13.3,3.24,186.15,137,873.745,307.87,27.15,1.016,15.34,9.63
2019-05-28,15.26,5.156,5.73,7510,19.53,9.38,167.5,1190.8,44.45,93600,33.34,195.44,12.45,19.05,13.32,3.26,185.51,141.6,864.543,311.32,27.5,1.045,15.2,9.77
2019-05-29,15.44,5.071,5.61,7400,19.61,9.33,167,1203.3,42.5,91500,32.71,201,12.6,19.15,13.4,3.35,187.65,137,870.84,306.47,27.4,1.055,15.16,9.45
2019-05-30,16,5.149,5.83,7530,19.75,9.19,168.5,1203,42.6,91400,32.02,205.99,12.75,19.4,13.13,3.45,190.16,137.4,880.527,314.65,27.25,1.074,15.4,9.58
2019-05-31,16.23,5.128,5.8,7460,19.88,9.14,167.5,1238.8,42.6,92300,31.78,207.1,12.9,19.65,13.13,3.49,190.81,134.2,890.213,325.7,27.2,1.103,15.42,9.77
2019-06-03,15.95,5.114,5.71,7500,19.66,9.12,167.5,1357.3,42.6,92800,32.35,210.44,13.2,19.45,13.01,3.44,190.63,138,901.837,332.05,27.45,1.103,16.14,10
2019-06-04,15.95,4.964,5.63,7510,19.88,9.02,172,1332.3,42.6,92600,31.06,204.12,13,19.5,13.27,3.37,192.19,133,890.213,333.82,26.9,1.094,15.76,9.93
2019-06-05,15.95,4.993,5.59,7520,19.79,9.1,171,1332.3,42.6,93000,30.79,204.08,12.9,19.6,13.55,3.37,193.33,127.4,890.213,333.82,27.1,1.094,15.72,9.89
2019-06-06,15.95,4.993,5.45,7520,19.97,9.03,173,1342.15,42.6,93000,31.14,204.15,13.05,19.6,13.36,3.37,190.07,130.8,898.447,326.57,27.5,1.094,15.98,9.95
2019-06-07,16.81,4.993,5.45,7600,19.97,9.03,172,1398.2,42.5,92800,31.14,204.58,13.05,19.6,13.65,3.4,192,133.2,894.088,323.65,27.5,1.113,15.98,9.99
2019-06-10,16.52,5.014,5.58,7690,20.01,8.89,171,1379.1,42.5,93100,31.76,207.98,13.3,19.85,14.11,3.39,190.84,132.8,897.962,324.62,28.3,1.113,16.04,10.25
2019-06-11,16.48,5,5.69,7690,19.57,9.35,171.5,1379.95,42.8,93700,32.54,202.57,13.4,19.95,14.28,3.42,193.08,139.2,888.76,324.8,28,1.103,16,10.21
2019-06-12,16.57,4.922,5.6,7720,19.31,9.24,173,1381.75,44.5,93800,32.05,197.9,13.55,19.85,14.31,3.46,191.72,137.6,888.76,322.5,27.45,1.094,16.22,10.1
2019-06-13,16.25,4.687,5.69,7770,19.48,9.28,173.5,1374.3,43.5,92400,31.41,195.56,13.75,19.9,14.67,3.5,193.06,136.6,881.495,321.07,28,1.103,16.26,10.07
2019-06-14,16.38,4.744,5.51,7730,19.53,9.11,173,1370.6,44.1,92800,30.37,195.53,13.7,19.85,15.06,3.52,193.35,134.2,871.808,324.05,27.75,1.113,16.2,9.99
2019-06-17,16.66,4.766,5.41,7850,19.53,9.11,171,1361.05,44.95,91900,30.47,195.53,13.65,19.8,14.96,3.39,191.4,132.6,871.324,320.52,27.7,1.103,16.2,9.99
2019-06-18,17.48,4.766,5.39,7900,19.61,9.03,170.5,1354.7,44.75,92200,29.92,195.59,13.25,19.9,14.88,3.5,191.37,135,871.808,317.12,27.3,1.103,16.24,10
2019-06-19,17.4,4.822,5.43,7980,19.97,9.22,170,1351.75,44.75,94000,30.09,198.5,13.65,20,14.96,3.55,189.92,128.2,871.808,324.97,27.65,1.103,15.78,9.95
2019-06-20,17.59,4.929,5.52,7980,19.97,9.69,170.5,1374.3,45.15,96400,28.29,203.24,13.4,20,14.96,3.71,191.89,128.2,871.808,329.32,28.1,1.123,15.64,9.96
2019-06-21,17.25,4.929,5.66,8000,19.79,9.77,170,1348.25,45,95400,27.92,203.63,13.7,20.15,14.46,3.83,193.23,130,869.871,328.65,27.8,1.103,15.74,10.17
2019-06-24,17.6,4.908,5.69,8270,19.97,9.7,170.5,1344.65,44.25,95900,27.98,195.35,13.75,20.15,14.49,3.57,194.4,131.2,868.902,325.4,27.8,1.094,15.92,10.27
2019-06-25,17.8,4.822,5.73,8210,19.97,9.72,171,1324.85,44.5,96100,27.24,194.47,13.7,20,14.19,3.62,194.59,134.2,868.902,322.97,27.6,1.113,15.76,10.1
2019-06-26,17.48,4.78,5.73,8160,19.97,9.52,170,1307.95,44.3,95900,27.78,192.99,13.8,20.2,14.43,3.67,194.47,134.4,867.934,320.07,27.55,1.103,15.7,10.1
2019-06-27,17.37,4.844,5.67,8280,20.01,9.62,170,1312.45,44.95,96400,28.05,192.91,14,20.25,14.5,3.72,192.76,134,867.934,320.65,28.1,1.103,15.66,10.19
2019-06-28,17.54,4.837,5.6,8180,20.05,9.72,169,1359.2,45,95700,27.5,189.35,13.95,20.35,14.62,3.76,190.73,136,865.996,317.85,28.8,1.084,15.46,10.15
2019-07-01,17.86,4.837,5.7,8180,20.01,9.91,167,1370.7,44.75,96000,28.36,192.01,14.35,20.5,14.53,3.83,189.88,135,873.745,327.82,28.8,1.084,15.46,10.34
2019-07-02,17.96,4.829,5.61,8200,20.05,9.8,169.5,1356.05,44.7,95200,29.75,190,14.25,20.6,15.03,4,189.18,137,871.808,327.57,29.05,1.103,15.82,10.31
2019-07-03,18.07,4.751,5.49,8010,20.01,9.65,169.5,1341.6,44.85,94000,29.71,190.15,14.05,20.45,15.21,3.96,188.83,134.2,874.714,327.27,29.25,1.103,15.8,10.59
2019-07-04,17.79,4.837,5.45,8140,20.05,9.69,170.5,1325.45,44.45,95000,29.36,190.38,14.15,20.55,15.53,3.94,189.42,134,872.777,326.87,29.35,1.103,16.06,10.7
2019-07-05,17.76,4.787,5.41,8070,20.1,9.65,171.5,1306.65,44.35,96000,30.68,190.52,14.1,20.5,16.31,3.88,190.88,138,881.495,321.8,29.5,1.103,15.94,10.7
2019-07-08,17.64,4.758,5.34,7830,20.01,9.36,172.5,1303.25,44.2,93000,30.06,192.14,13.95,20.3,16.19,3.92,190.54,138,891.182,305.42,28.75,1.094,16.12,10.75
2019-07-09,17.46,4.844,5.31,7760,19.97,9.42,174.5,1328.65,44.9,92300,30.69,191.76,14,20.3,16.19,3.9,193.08,136,888.276,314.87,28.45,1.094,15.96,10.35
2019-07-10,17.92,5.057,5.28,7870,20.1,9.44,175,1318.15,44.85,91300,30.48,194,14.65,20.25,16.29,3.88,192.37,135,881.495,324.52,28.4,1.084,16.16,10.62
2019-07-11,18.22,5.128,5.37,8020,20.14,9.44,173,1315.3,44.95,93300,30.82,192.83,14.95,20.35,16.48,3.9,189.8,136,883.432,325.67,28.7,1.074,16.32,10.79
